"My - ope ってな ん です か ？ ",2653
"どんな こと が 出来る の ？ ",2654
"どう やっ て 会話 を 覚え させる の ？ ",2655
"どんな 企業 が 使っ てる ？ ",2656
"試用 出来る ？ ",2657
"詳しく 話 を 聞き たい ",2658
"会話 の 精度 は どれ くらい ？ ",2659
"セキュリティ 対策 は どう なっ てる ？ ",2660
"データ 投入 の 手間 は どれ くらい ？ ",2661
"チャット Bot は どう やっ て 埋め込む の ？ ",2662
"サーバ など の インフラ は どう なっ て いる ？ ",2663
"マイオペ って 何 ？ ",2653
"My - ope と は 何 です か ",2653
"my - ope って どういう もの です か ",2653
"これ は 何 が 出来 ます か ",2654
"これ は どんな サービス です か ",2654
"何 を 実現 する の です か ",2654
"どう やっ て 話 を する の です か ",2655
"どう やっ て 会話 を 覚える の ？ ",2655
"会話 を 覚え させる 方法 は ？ ",2655
"どの 会社 が 使っ てる の ？ ",2656
"どんな 会社 が 使用 する の ？ ",2656
"どの 企業 が 使い た がる ？ ",2656
"試し に 使える ？ ",2657
"お 試し は 可能 です か ",2657
"試し に 使う こと は 可能 です か ",2657
"詳細 を 知り たい ",2658
"詳しい 内容 を 知り たい ",2658
"話 を 詳しく 聞き たい ",2658
"どの くらい 制度 が ある の ？ ",2659
"会話 の 制度 は どの くらい な の ？ ",2659
"精密 さ は どれ くらい な の ？ ",2659
"セキュリティ は 万全 な の ？ ",2660
"安全 な の ？ ",2660
"セキュリティ 対策 は さ れ てる の ？ ",2660
"どれ くらい 手間 が かかる の ？ ",2661
"データ の 投入 は 面倒 ？ ",2661
"データ の 投入 に 手間 は かかる ？ ",2661
"チャット Box の 埋め込み 方 は ？ ",2662
"どう やっ て チャット ボックス を 埋め込む の ？ ",2662
"チャット Box の 埋め込み 方 を 知り たい ",2662
"サーバー の インフラ は どう なっ て いる の か ",2663
"サーバ の インフラ 状態 は ？ ",2663
"サーバー の インフラ 状態 を 教え て ください ",2663
"マイオペ と は 何 です か ？ ",2653
"My - ope について 教え て 下さい ",2653
"マイオペ って ？ どういう もの ",2653
"これ は どういう 事 が 出来る の ？ ",2654
"何 が 出来る の ？ ",2654
"どんな 事 が 可能 ？ ",2654
"どんな 風 に 会話 を 覚え させる の ？ ",2655
"会話 を 覚え させる に は ？ ",2655
"対話 を 覚え て もらう に は どう し てる の ？ ",2655
"どの よう な 企業 が 使っ て い ます か ？ ",2656
"どんな 企業 が 必要 と し て い ます か ？ ",2656
"どんな 企業 が 使っ て い ます か ？ ",2656
"試用 出来 ます か ？ ",2657
"試用 し たい の です が ",2657
"試用 って 可能 です か ？ ",2657
"詳細 を お 聞き し たい ",2658
"詳しく お話 し 願え ます か ？ ",2658
"詳しく 話 を 聞き たい の です が ",2658
"会話 の 精度 は どの くらい でしょ う か ？ ",2659
"会話 の 幅 は どれ くらい です か ？ ",2659
"精度 は どれ くらい でしょ う か ？ 会話 の ",2659
"安全 対策 は どの よう に なっ て い ます か ？ ",2660
"セキュリティ 対策 は どの よう に し て い ます か ？ ",2660
"セキュリティ 対策 は どう なっ て い ます か ？ ",2660
"データ 投入 に 手間 は どの くらい かかり ます か ？ ",2661
"データ 投入 の 手間 は どの くらい でしょ う か ？ ",2661
"データ 投入 の 手間 は どれ くらい かかっ て い ます か ？ ",2661
"チャット Bot は どの 様 に し て 埋め込ん でる の ？ ",2662
"チャット Bot は どう やっ て 埋め込め て ます か ？ ",2662
"チャット Bot は どう やっ て 埋め込ん で いる ん です か ？ ",2662
"サーバ など の インフラ は どう なっ て い ます か ？ ",2663
"サーバ など の インフラ は どの 様 に なっ て ます か ？ ",2663
